ID;SEX;CHILD_BOOL;REALTY_BOOL;HAVE_ACCOUNT_BOOL;EMAIL_BOOL;DCI;PROFIT_FAMILY;UCI;FOREIGN_PASSPORT_BOOL;SIML;EDUCATION;TRANSPORT_AMOUNT;target;sample
2;1;1;1;0;0;28312,8594;33312,8594;0;1;19;3;2;1;Train
4;0;0;0;0;0;28738,4707;28738,4707;0;0;20;3;0;1;Train
6;1;1;1;0;0;25920,5195;37000;0;0;38;3;0;1;Train
7;1;0;1;1;0;0;16243,8096;7000;0;71;5;1;1;Train
8;1;1;1;0;0;17400;17400;0;0;59;3;3;1;Train
10;0;1;1;0;0;16197,6504;30000;0;0;71;3;1;1;Train
11;1;0;1;0;0;16612,6309;25000;0;0;25;5;0;1;Train
12;0;0;0;1;0;0;11000;0;0;0;5;0;1;Train
14;1;1;0;0;1;75690;110000;0;1;59;3;0;1;Train
15;1;1;0;0;0;16090,2402;17100;0;0;6;6;0;1;Train
18;0;1;1;0;0;13920;38920;0;0;210;3;0;1;Train
20;1;1;0;0;0;8307,7803;38310;10000;0;114;5;0;1;Train
21;1;0;1;0;0;7833,1299;7833,1299;0;0;36;3;1;1;Train
23;1;1;1;0;0;23270,8594;26000;0;0;43;5;0;1;Train
24;0;1;0;0;0;14739,6602;17000;0;0;8;6;0;1;Train
25;0;0;0;0;0;20490,4902;17000;2000;0;49;4;0;1;Train
26;1;0;0;0;0;24932,9492;34000;0;0;52;6;1;1;Train
28;0;1;1;0;1;15050,7402;15050,7402;0;0;15;3;0;1;Train
29;1;0;0;0;0;44785,2891;60000;7000;0;31;3;0;1;Train
30;0;1;1;0;0;12798,46;12798,46;0;0;61;5;0;1;Train
31;1;0;0;0;1;36247,8008;50000;0;0;17;6;0;1;Train
32;0;0;1;0;0;6758,4102;31758,4102;5000;0;60;6;0;1;Train
34;1;0;0;0;0;13050,6104;18050,6094;0;0;16;5;0;1;Train
35;1;0;1;0;1;52200;100000;10000;0;10;3;0;1;Train
37;0;0;1;0;1;11201,0801;11201,0801;0;0;15;4;0;1;Train
38;0;0;1;0;0;18657,4902;18657,4902;0;0;55;5;0;1;Train
39;1;0;0;0;1;5727;37800;20000;0;13;4;1;1;Train
40;1;1;1;1;0;0;30000;0;0;78;6;1;1;Train
41;0;0;0;0;0;25549,4707;25549,4707;0;0;163;6;0;1;Train
43;0;0;1;0;0;22107,3906;22107,3906;0;0;53;3;1;1;Train
45;1;0;0;1;0;0;7057,1499;0;0;0;5;0;1;Train
47;0;1;0;0;0;67778,6719;100460;0;0;170;3;0;1;Train
48;0;1;1;0;0;164399,1719;164399,1719;0;1;36;2;0;1;Train
49;1;0;0;0;0;18884,2207;23884,2207;5000;0;112;4;0;1;Train
50;0;1;0;0;1;23742,4102;23742,4102;0;0;130;4;0;1;Train
51;0;0;0;0;0;12476,8096;15000;0;0;19;6;0;1;Train
52;0;0;1;0;0;7684,29;7684,29;0;0;40;5;0;1;Train
54;0;0;0;0;0;12933,5098;12933,5098;0;0;30;6;0;1;Train
55;0;0;1;0;1;25041,8496;75000;0;1;9;3;0;1;Train
57;1;1;1;0;0;29313,1504;39313,1484;0;0;44;5;1;1;Train
58;1;0;1;0;1;17301,0195;19886,2305;0;1;6;2;0;1;Train
59;0;1;0;1;0;0;18399;1000;0;0;3;0;1;Train
60;0;1;1;0;0;7003,98;7003,98;0;0;7;5;0;1;Train
61;1;0;1;0;1;13649,4297;12649,4297;0;0;7;5;0;1;Train
64;0;1;0;0;0;8708,0098;32700;0;0;36;5;0;1;Train
65;1;0;1;0;0;14169,0898;20169,0898;6000;0;44;5;0;1;Train
67;0;1;1;0;1;5800,9502;75800,9531;70000;0;54;3;1;1;Train
68;1;1;0;0;0;27471,9395;34052;0;1;96;3;0;1;Train
69;1;1;1;0;0;13994,3301;28994,3301;15000;1;13;6;1;1;Train
71;0;1;1;0;1;12180;24180;2000;0;24;5;0;1;Train
72;1;0;0;0;0;78923,7969;78923,7969;0;0;48;4;1;1;Train
73;0;1;0;0;0;6370,7598;12500;0;0;129;6;0;1;Train
74;0;0;1;0;1;20481,9707;50481,9688;0;0;20;4;0;1;Train
77;0;0;0;0;0;8000,6401;12020,6396;4020;0;0;5;0;1;Train
78;0;0;0;0;0;17116,9102;17116,9102;0;0;40;3;0;1;Train
80;1;1;0;0;1;212098,6562;220000;0;1;8;3;1;1;Train
81;0;0;1;0;1;17400;17400;0;0;12;4;0;1;Train
83;0;0;1;0;0;17711,4609;17700;0;0;23;3;1;1;Train
85;1;0;1;0;0;12443,9199;19443,9199;7000;0;43;5;0;1;Train
86;1;0;0;0;0;17817,6797;17817,6797;0;0;14;5;0;1;Train
87;0;0;0;0;1;7123,6699;7123,6699;0;0;0;4;0;1;Train
88;1;1;1;0;0;34168,8789;40000;0;0;51;7;1;1;Train
89;0;1;0;0;0;20792,0391;51000;0;0;99;3;0;1;Train
